id,title,Summary2,cause,newkeys,sif_indicators,label_reason,human_sif_label,review_reason
200361442,trench collapse kills worker,on november 20 2012 employee #1 a 39-year-old male with j.f. wilkerson contracting company inc. was standing on soil located outside of a trench box. employee #1 was placing a 16-ft. fiberglass extension ladder in an 8-ft. by 24-ft. trench box when he was engulfed by the soil that he was standing on. employee #1 was killed in the event.,trench collapse,"trench, trench box, collapse, struck by, suffocated, asphyxiated","fatality, struck_by",fatal_outcome,SIF,Worker was engulfed in a trench collapse; fatal caught-in/engulfment mechanism.
200151389,employee is crushed by falling concrete wall later dies,on january 5 2009 several employees were digging out soil for footings under the vertical recently poured cement walls of five window wells and one stairwell of a residential basement foundation. apparently the footings were not poured and set before the vertical walls were constructed. the stairwell walls were approximately 19 ft long extending west to east and the other 3 ft wide at the west end only extending north to south connecting that end to the main foundation. there was no east wall connecting the 19 ft vertical wall to the foundation at that point. employees dug out the soil for the footings approximately 8-in. deep starting from the middle of the 19-ft vertical wall approximately 6 ft eastwardly and stopped approximately 3 ft from the unattached end. there were two 4-in. by 4-in. diagonal wood braces extending from approximately mid-wall into the soil at the bottom of the excavation wall. at approximately 3:00 p.m. employee #1 was waterproofing the outer 19-ft wall with tar. apparently employee #1 removed the east diagonal brace near the unattached end to waterproof the footprint area of where the brace contacted the wall. the 1 400-pound wall broke away from the foundation at the west end and the entire 19-ft by 8-ft concrete wall fell on employee #1. employee #1 sustained serious crushing injuries and was rushed to the hospital were he died later that day.%09,collapse of structure,"struck by, falling object, concrete slab, crushed, brace, excavation, footings","fatality, struck_by, caught_between",fatal_outcome; caught_between_high_energy,SIF,"1,400-lb concrete wall collapsed onto worker; fatal crushing/caught-between exposure."
818187,employee falls from roof and is killed,while sweeping and cleaning up debris on a twenty-foot high and three by twelve foot sloped roof employee #1 fell down. employee #1 suffered a deep gash to his head. as he attempted to get up he fell off the side of the roof. employee #1 landed on a thick tree or bush branch resulting in added injuries that led to employee #1's death.,[],"tree, roof, broom","fatality, fall_from_height",fatal_outcome,SIF,Worker fell from a 20-ft roof and then over the roof edge; fatal fall exposure.
201121712,employee injured when struck by support beam assembly,at approximately 11:35 a.m. on july 1 1999 an employee was unbolting the connecting plate of a vertical shore from a supporting beam. the assembly was lying on its side. as the employee removed the lower bolts of the plate the assembly dropped crushing his arm. the employee was hospitalized for a fractured arm.,[],"arm, fracture, construction, support cable",struck_by,no_strong_sif_evidence,SIF,Falling support-beam assembly crushed the worker's arm; high-energy stored/load movement.
170761514,employee is killed when pinned in aerial lift,employee #1 was working from an aerial lift which was in the 'up' position under an i-beam. employee #1 was cutting out the beam pocket when he accidentally came into contact with the 'drive/steer' lever which made the manlift move. employee #1 was killed when he was pinned between the i-beam and manlift control panel. as per the manufacturers operating manual for the manlift sm2129e-14017 the drive/steer lever should not have been able to move until the lower half of the knob was pulled up to release it from the detent. as per the written statements this safety device on the drive/steer lever was not operational.,crushed/run,"caught between, aerial lift, aerial lift controls, construction, concrete beam, work rules","fatality, caught_between",fatal_outcome; caught_between_high_energy,SIF,Worker was pinned between an aerial lift and I-beam; fatal caught-between exposure.
201401114,employee installing cable causes property damage,employee #1 was installing cable strand wire on a pole when he noticed that the existing strand wire that ran north along the road went around the pole and formed a 90 degree angle. he used a come-along to pull the existing cable because he saw it was only 14 to 15 in. from a 120 v secondary power line. employee #1 cranked the come-along until he heard a spanking sound. the cable strand had struck the power line resulting in property damage. no information was provided on employee injuries.,[],"construction, cable tv work, struck against, clearance, installing, hand winch, winch, communication cable, communication worker",struck_by,no_strong_sif_evidence,SIF,"Cable contacted a 120-V power line; electrical energy was released, though injury was not reported."
202509998,steel beam erector falls and fractures both arms,on august 21 2013 employee #1 and coworker #1 of western steel erectors were erecting steel beams as part of a building construction. after connecting beams in one area they proceeded to move to another area to perform additional beam connections. they were walking on top of a cmu (concrete masonry unit) wall when employee #1 fell approximately 22 feet to a concrete floor below. emergency services were called and employee #1 was transported to the hospital where he was admitted and treated for multiple fractures to both his arms.,fall,"construction, steel beam, erection process, installing, steel connecting, fall, fall protection, fracture, arm, joist",,no_strong_sif_evidence,SIF,Worker fell about 22 ft from a wall to concrete; realistic fatal fall potential.
202365623,one employee is killed one is injured from electric shock,on march 1 2006 employees #1 and #2 were working at an electrical vault which was presumed to be deenergized when they made contact with a live 7 200-volt underground primary cable. employee #1 was killed. employee #2 suffered severe burns and was hospitalized.,[],"electrical work, electric shock, burn, electrical vault, undrgrd power line, construction, power line worker, electrocuted, work rules, electrical","fatality, electrical",fatal_outcome; electrical_energy_exposure,SIF,"Workers contacted a live 7,200-V cable; one fatality and severe burns demonstrate extreme electrical exposure."
200553451,employee is killed when bridge section collapses,employee #1 and two coworkers were working on a bridge when a section of the bridge collapsed and all three employees fell into the water. the two coworkers were able to swim out but employee #1 was killed.,collapse of structure,"bridge, collapse, water, demolition, fall, swim",fatality,fatal_outcome,SIF,Bridge section collapsed and workers fell into water; structural collapse/fall had fatal potential.
201508769,employee fractures upper arm in fall from ladder,on september 16 2008 employee #1 a construction worker was standing on the fifth rung of a stepladder and pushing a square duct through the ceiling rafters. as he exerted horizontal pressure on the duct he lost balance tipped the ladder and fell in the opposite direction of the ladder. he fractured his right forearm and upper arm. employee #1 was hospitalized at the eden medical center located in castro valley california for five days.,[],"fracture, arm, forearm, fall, stepladder, lost balance, duct, flying object, construction, rafter","fall_from_height, energy_release",no_strong_sif_evidence,NON-SIF,"Fall from a stepladder resulted in arm fractures, with no strong evidence of fatal-potential exposure."
202311403,electric shock,a local utility company hired an electrical contractor to install new streetlighting at the corner of a hazardous intersection. the job required installing one of the streetlights parallel to an existing 13.2-kilovolt (phase-to-phase) overhead power line. the ground worker installed the streetlighting hardware and supply cable on the pole placed a synthetic nylon sling with a choker hitch around the pole and attached the sling to the load line of a derrick truck. when the derrick lifted the pole to an upright position the derrick's tilt-pole plumber arms grasped the shaft of the pole. the operator of the derrick truck swung the load around and began to set the pole in a 1.8-meter-deep hole. the ground worker was securing the cargo straps to the pole trailer as the derrick operator was setting the pole. when the butt end of the pole contacted the bottom of the hole the pole spun the streetlight into the overhead line. the ground worker ran to the pole to try to prevent it from contacting the overhead line. he was electrocuted when he touched the supply cable on the pole. he had entry and exit wounds on his right hand and right heel.,electrocution by equipment contacting wire,"electrical, electrocuted, elec utility work, streetlighting, overhead power line, derrick truck, utility pole, e ptd",electrical,electrical_energy_exposure,SIF,Worker was electrocuted while handling equipment that contacted a 13.2-kV overhead line.
200003143,employee is killed in fall off tower,at approximately 10:00 a.m. on august 11 2011 several employees were tasked with dismantling an anderson m-46 100-ft cellular tower that was no longer needed. this tower was located on the south side of image road between highway 11 and inman road. the tower was assembled using five 20-ft triangular sections with saddles bolted to the legs to attach one section to the next making the tower progressively taller. there was a triangular platform on top of the tower housing the cellular antennas. after the antenna platform had been removed three of the employees climbed the faces of the tower to approximately 80 feet to unbolt the top section of the tower for removal by a truck mounted crane. employee #1 fell from the tower 80 feet to the ground below. emergency medical services were notified and arrived within minutes. employee #1 was alive but unresponsive. he was transported by air ambulance to university hospital where he died shortly after arrival.,fall from/with structure,"construction, fall, fall protection, tower, antenna, truck crane, platform","fatality, fall_from_height, lifting",fatal_outcome; fall_with_height_exposure,SIF,Worker fell about 80 ft from a cellular tower during dismantling; extreme fall exposure.
170609184,employee bruised in fall from collapsing scaffold,employee #1 of tutor-saliba corp. was helping to drill holes through a concrete column. he was pulling the jack drill off while standing on a platform scaffold 5 ft high. the jack drill dropped onto the scaffold breaking one of its 2 by 4 legs. the platform collapsed and dropped employee #1 to the ground. he hit one of the wooden pegs staked to the ground which caused bruises to his rib cage area. the employer was cited for serious violations.,[],"construction, scaffold collapse, fall, struck against, wood erection, contusion, rib, scaffold","fall_from_height, struck_by",fall_with_height_exposure,SIF,Scaffold collapse caused a fall from about 5 ft; exposure involved an unstable elevated platform.
200851640,one employee killed when hydraulic platform collapses,employee #1 and coworkers were on a hydraulic platform used to work on elevated train tracks when it collapsed and they fell approximately 20 ft. employee #1 and eight coworkers were transported to the hospital; employee #1 died as a result of his injuries on april 17 2000.,fall from/with bucket,"construction, elevated work plat, collapse, unsecured, hoisting mechanism, fall, fall protection, work platform, hydraulic table","fatality, fall_from_height",fatal_outcome; fall_with_height_exposure,SIF,Hydraulic work platform collapsed and workers fell about 20 ft; fatal fall mechanism.
202544888,employee's leg is struck by concrete pile and is crushed,at approximately 9:30 a.m. on november 5 2012 employee #1 was disconnecting rigging from a concrete rebound pile. before this work began he had worked with a coworker who was rigging concrete rebound piles to a truck mounted simons r-o truck mounted crane (model number tc2863 serial number 4590595951040). the concrete piles had steel rebar loops cast in them for lifting and were attached to the crane load line via a yoke hook. one of the piles was lowered into a dump truck and the line was slacked. employee #1 climbed into the end dump truck to detach the yoke hook. while standing adjacent to the load he disconnected the yoke hook and the load shifted. the concrete struck him in his right leg causing crushing injuries. employee #1 was transported to a medical center where he underwent surgical procedures on the serious leg fractures and was hospitalized for post-operative care.,other,"concrete, piling, unstable position, struck by, leg, crushed","struck_by, caught_between, lifting",caught_between_high_energy; lifting_high_energy_exposure,SIF,Worker was beside a suspended concrete pile when it shifted and crushed his leg; lifting/caught-between exposure.
202654547,worker at pipeline installation collapses and dies,on june 20 2013 employee #1 of underground construction co. inc. was working at a pipeline construction site. as he was installing plastic sheeting under a portable toilet he collapsed. emergency services were called. employee #1 was transported to watsonville community hospital. employee #1 died. the subsequent investigation report did not reveal a cause of death.,other,"construction, pipeline, installing, collapse",fatality,fatal_outcome,UNCERTAIN,"Worker died after collapsing during pipeline work, but the investigation found no cause of death or clear work-related high-energy mechanism."
202686291,employee is struck by a can and gets knocked down,on june 4 2013 employee #1 of rogers industries llc was directed to unhook the paint cans from the rope after they were lowered down to the work surface. while waiting for the next can to come down employee #1 was struck by the paint can due to the handle breaking causing the can to hit a ventilation pipe and then hit him in the neck and shoulder knocking him to the deck.,struck by falling object/projectile,"struck by, neck, shoulder, painter",struck_by,no_strong_sif_evidence,NON-SIF,"Paint can struck the worker and caused a knockdown, but the narrative does not show a strong fatal-potential mechanism."
200002723,employee is killed when struck by debris,on may 23 2008 employee #1 a crane operator for maxim crane works was conducting a wind test with no load. the crane boom fell to the ground causing the cab to tip over. employee #1 was killed when flying debris hit his head as he ran from the site.,struck by falling object/projectile,"struck by, concussion, crane boom, crane cab, high wind, overturn, flying object, construction, head","fatality, struck_by, lifting",fatal_outcome,SIF,Crane boom fell and struck a crane operator with flying debris; high-energy lifting failure.
202345021,employee is killed when struck and crushed by an excavator,on january 18 2005 barnett contracting was in the process of removing downed palm trees from a canal as a result of hurricane charlie. the process consisted of an excavator pulling downed palm trees from out of the canal to the shoreline. a laborer would then cut the tree as close to the stump as possible due to the weight of the tree. once separated the tree would then be loaded onto the dump trucks. at the time of the accident employee #1 was in a crouched position near the tree stump cutting the tree unknown to the excavator operator. the excavator's bucket went over employee #1 in order to drag the stump on shore when the excavator's bucket struck employee #1's right chest wall pinning him between the bucket and tree stump killing him.,crushed/run,"crushed, struck by, tree, communication, tree stumping, obstructed view, excavator, chest, construction","fatality, struck_by, caught_between",fatal_outcome; caught_between_high_energy,SIF,Excavator bucket pinned the worker between the bucket and tree stump; fatal caught-between exposure.
14554240,struck on the head by heavy iron piling,a crane was being used to pull sheet piling from a coffer dam. another crane ws used to transfer the piling to the top of the bank. the piling slipped from the sling & fell on employee #1 causing head injuries and a broken neck.,[],"crane, struck by, head, sling, piling, coffer dam","struck_by, lifting",no_strong_sif_evidence,SIF,Heavy iron piling slipped from a crane sling and struck the worker; high-energy suspended-load exposure.
201771854,employee crushed piling,on february 5 2003 an employee working for utilex construction corporation was working as a dock builder on piling lying on the ground to be raised until it was vertical. the piling was raised just enough to clear the ground when the hammer assembly came down and sheared the slings that supported the piling. the piling fell over killing striking the employee in the head and killing him.,struck by falling object/projectile,"head, sling, dock, fall, oven, sheared, construction","struck_by, caught_between",caught_between_high_energy,SIF,Piling fell after slings sheared and struck the worker; fatal high-energy lifting/caught-between event.
200374296,employee electrocuted when bull bloat contacts power line,on july 31 2007 employee #1 was finishing a concrete slab when he took the bull float finishing tool over to the side to wash it. while washing the 20 ft-long tool with a water hose employee #1 raised it up and either contacted or came close to contacting an overhead 13 800-volt power line. he was electrocuted and died at the scene.,electrocution by equipment contacting wire,"construction, overhead power line, electrocuted, concrete form work, concrete float, extension handle, clearance, electric arc, work rules, struck against","fatality, struck_by, electrical",fatal_outcome; electrical_energy_exposure,SIF,"20-ft tool contacted a 13,800-V overhead line and electrocuted the worker."
200802213,nonemployee struck and killed by bucket owner injured,on may 19 2009 a nonemployee (a friend of the company's owner) was at the facility watching the owner work on the skid steer loader. the bucket of the skid steer loader was in the elevated position. the nonemployee decided to help the owner and entered the danger zone of the bucket. a hydraulic line was somehow broken or dislodged. the bucket descended striking and killing the nonemployee and seriously injuring the owner.,[],"loader, loader bucket, falling object, struck by, hydraulic line","fatality, struck_by",fatal_outcome; struck_by_vehicle_exposure,SIF,Elevated loader bucket descended and struck a person in the danger zone; fatal crushing exposure.
