id,title,Summary2,cause,newkeys,sif_indicators,label_reason,human_sif_label,review_reason
202556551,machine operator is injured while removing piles,on march 13 2013 employee #1 a heavy equipment operator employed by a large pipeline installation contractor was operating an abi vibrating hammer at a pipeline construction project. he was driving in piles and removing piles used to hold up shoring during a large excavation. as he removed one pile the chain broke and the pile fell. the pile landed on the edge of the abi machine injuring employee #1. he was transported to the hospital admitted and treated for multiple fractures and a concussion. he required hospitalization for four days. this event was reported to cal/osha on march 13 2013 by both the employer and the local fire department. the subsequent investigation revealed that employee #1 was an experienced abi vibrating hammer operator having worked for the employer in this capacity for 5.5 years.,struck by falling object/projectile,"construction, pile driver, excavation, support posts, chain, broken chain, struck by, falling object, concussion, fracture","struck_by, fire_explosion",no_strong_sif_evidence,,
14467674,electric shock,an employee using rubber gloves was working on a 13.8-kilovolt (phase to phase) circuit from a fiberglass insulated bucket of a hydraulic aerial lift (1974 telbow: model t45 169 ae) mounted on a 1974 international truck. the employee's upper arm made accidental contact with the top side of a lightning arrester (entry point at 7980 volts phase to ground) while his right abdomenal area was in contact with a bare conductor running to the grounded neutral (exit point). the employee was wearing gloves but not sleeves. he was electrocuted.,[],"electrical, electric shock, elec utility work, power line worker, aerial lift, lightning arrester, e ptd",electrical,electrical_energy_exposure,,
202508529,electric shock,an electrician was stripping insulation from conductors in a junction box on a circuit supplying electric power for lighting and signs along an interstate highway. the conductors in the junction box were energized at 480 volts and the employee was not wearing rubber insulating gloves. she received an electric shock and was hospitalized for her injuries.,[],"electrical, electric shock, electrician, electrical work, lockout, electric conductor, hand tool, insulated tool, elec protect equip, e gi iv",electrical,electrical_energy_exposure,,
201094893,employee not injured when power line energized,at approximately 10:10 a.m. on august 15 2001 employee #1 a cable technician was secured in a tree and was running a new tv cable through the tree from one power pole to another. as he was working the insulator holding the power line to the power pole in the next pole up the line cracked and fell apart. this caused the line to energize the tree in which employee #1 was stationed. he was transported to the emergency room at the local hospital where he was found to have suffered no injuries and was released. it was determined that this was an uncontrollable accident and that the employer could not have prepared for it.,electric shock,"construction, overhead power line, equipment failure, insulator, elec circ part--misc, elec utility work, power line worker",electrical,electrical_energy_exposure,,
14541924,electric shock,an electrician's apprentice was using a portable electric heat gun to connect overhead conduit on a single-story multi-family building. while using the heat gun the employee was electrocuted by a ground fault somewhere in the temporary wiring. the portable heat gun was found to be in proper working order; however the extension cord in use was of non-metallic sheathed cable construction. additionally the cover was off the temporary service panel and the service entrance cable was wired incorrectly. there was no ground-fault circuit interrupter protecting the temporary receptacle outlet.,[],"electrical, electrocuted, ground fault, elec equipment--misc, cord set, temporary wiring, e c",electrical,electrical_energy_exposure,,
201795101,two employees treated for carbon monoxide exposure,on december 31 2001 employee #1 and two coworkers working for empire demolition were working at costco in azusa ca. they were hired by the general contractor wl butler to demolish the concrete floor and wall of a meat cooler. the meat cooler refrigeration was turned off during the demolition process and the space was unventilated. while cutting the concrete floor with a propane-powered saw employee #1 passed out from exposure to carbon monoxide. in addition employee #2 a costco employee felt ill and vomited as a result of exposure to carbon monoxide. both employees were taken to the hospital treated with oxygen and released the same day.,asphyxiation/inhalation of toxic vapor,"demolition, concrete, asphyxiated, sawyer, confined space, carbon monoxide, hand tool",confined_space,no_strong_sif_evidence,,
202555439,employee is struck and injured by falling hopper,on january 12 2013 employee #1 was working on the site of a partial demolition and rehabilitation of a one-story retail building. he was operating a forklift with a hopper. the hopper was to be used to collect demolition debris which then would be placed into a dumpster. when employer #1 raised the hopper with the forks the hopper which was tilted slightly downwards it slid from the forks and struck employee #1. he was thrown to the ground. employee #1 fell in a concave area underneath the hopper as the hopper hit the ground which allowed him to only receive bruises and contusions from the falling hopper. emergency medical personnel were summoned. they arrived and transported him to a medical center where he was admitted and treated for his injuries and then hospitalized.,unloading,"industrial truck, hopper, unstable position, unsecured, falling object, struck by, contusion","struck_by, lifting",no_strong_sif_evidence,,
202493722,worker falls when hatch door opens fractures leg and wrist,at approximately 2:30 p.m. on september 27 2012 employee #1 and coworkers of valley fire & security alarms inc. were working in a commercial building. they were installing low voltage electrical cable part of a fire alarm system installation for a new tenant space. this work involved accessing an elevated service attic corridor. employee #1 and coworkers entered the service attic corridor via an extension ladder. coworker #1 spooled out the cable as employee #1 walked the cable down the corridor attaching it along the wall as he went. employee #1 stepped away from the wall to determine the appropriate route for running the cable across the service corridor and down into the tenant space. employee #1 stepped onto a closed hatch door in the service corridor floor. the hatch door opened downward and the employee fell approximately 13 feet feet first to the ground below. emergency responders transported employee #1 to mercy hospital folsom ca. he was initially treated and then admitted for a total of three days hospitalization. he underwent surgery for a fracture to the right leg fibula tibula and ankle and a fracture to the right wrist. at the time of this report the employee had undergone two additional inpatient surgeries subsequent to the initial hospitalization and he was receiving in-home health care support for ongoing treatment.,fall through opening,"construction, hatch, fall, fracture, leg, wrist, installing, attic, ankle","electrical, fire_explosion",no_strong_sif_evidence,,
202445250,employee fractures leg in fall from roof,at approximately 11:51 a.m. on march 30 2007 an employee along with a coworker were installing roof sheathing on a 5:12 sloped roof. the distance from the eave to the asphalt floor below measured 16.5 feet. the employee slipped on sawdust generated from cutting the sheathing boards and fell off the edge of the roof. he sustained serious injuries. the employee was transported to loma linda university medical center where he was hospitalized. then he was treated for fractured leg at kaiser permanente in fontana. no scaffolding guardrails personal fall protection systems or other means were used or provided to the employees at this worksite.,fall from roof,"fall, fall protection, sawdust, guardrail, scaffold, carpenter",fall_from_height,fall_with_height_exposure,,
201127883,employee is injured when struck by auger mechanism,at 12:01 p.m. on october 19 2010 employee #1 suffered multiple fractures when his right leg was struck by an auger extension that separated from the auger head. employee #1 was working at a residential construction site located in los altos california. employee #1 was employed by rcm concrete. according to the foreman/supervisor (employee #2) he and employee #1 had been drilling holes for the retaining wall using a bobcat (loader) with an auger and a six foot auger extension. employee #2 was operating the bobcat and employee #1 was the spotter working near the drill area. employee #2 had completed drilling holes so he instructed employee #1 to remove the screw locking the auger and the extension. the connection was too tight so that the screw could not be removed by employee #1. employee #2 instructed employee #1 to remove soil and dirt around the auger and extension connection. employee #1 used his hands to remove the dirt around the auger/extension connection and to remove or loosen the screw holding the extension and auger. employee #1 said the arm of the bobcat suddenly moved while he was still working on removing the screw. the movement of the arm of the bobcat separated the auger extension from the auger. according to employee #1 he was struck by the auger extension and he was thrown on the ground approximately 10 to 15 feet away. in an interview employee #2 stated that he could not see how the extension connection to the auger head was angled so he asked employee #1 to give him a hand signal. employee #2 said he moved the bobcat arm forward after getting a signal from employee #1. employee #1 was standing less than a foot away from the auger extension. as employee #2 moved the bobcat arm forward the auger extension became separated from the auger and it swung toward employee #1 injuring his right leg and resulting in multiple fractures. employee #1 also suffered a scalp laceration. employee #1 was taken by ambulance to stanford hospital in palo alto california where he was hospitalized for 5 days.,other,"fracture, leg, laceration, scalp, auger, loader, concrete, struck by",struck_by,no_strong_sif_evidence,,
956987,employee's finger amputated after crushed by pipe,employee #1's hand was crushed when the set screw loosened on a screw jack allowing the jack and more than 337 lb of pipe load to fall. his finger was surgically removed. the screw jack was missing the washer for the locking device that held the pipe in place for welding.,[],"construction, welding, hand, screw jack, finger, amputated, unsecured, pipe, equipment failure, work rules","caught_between, amputation",caught_between_high_energy,,
202495271,employee amuptates finger while cleaning concrete pump,on december 7 2006 employee #1 was working for a firm that did concrete work as the operator of a reed model number c50hps trailer concrete pump. he had finished placing shotcrete into retaining walls and he was performing his normal cleaning duties. he did not turn off the power to the machine while cleaning it. he had removed the hopper grill from the concrete pump. when he walked by the hopper and observed that sand and gravel were inside he placed his gloved right hand inside to clean it. suddenly the piston of the swing tube delivery system activated crushing and pinning his hand. one or more fingers were amputated and he was hospitalized.,other,"concrete, pump, cleaning, lockout, caught by, piston, hand, amputated, finger","caught_between, amputation",no_strong_sif_evidence,,
202452389,employee is injured in fall from scaffold,on february 28 2006 employee #1 an employee of a painting contractor was on the second tier of a metal scaffolding system approximately 14 ft high inspecting the exterior wall of a house for blistering. employee #1 was standing on one of the planks when for some reason the plank slipped off the ledger causing him to lose his footing. employee #1 fell to the ground and sustained unspecified injuries. employee #1 was hospitalized.,fall from/with scaffold,"construction, scaffolding, scaffold, fall, lost balance, slip, planking, fracture",fall_from_height,fall_with_height_exposure,,
202554523,employee is injured his wrist in fall from top plate,on april 23 2012 employee #1 was doing layout for second floor joists when he lost his balance and fell off of the top plate. the employee injured both wrists when he put out his hands to break his fall of about nine and one-half ft. employee #1 was taken by emergency responders to the local hospital where he was admitted for surgery on his injured wrists. the employee was released after three days in the hospital.,fall from/with structure,"joist, lost balance, fall, fracture, wrist",fall_from_height,no_strong_sif_evidence,,
200355774,two employees are injured when scaffold drops,on november 20 2006 four employees were on a mason king scaffold that was being raised to where the next tier of block was to be laid. they were cranking the manual hand crank winches located on each tower to a height of approximately 28 ft above the ground. the wire rope on the winch broke which caused the scaffold to drop approximately 2 ft before it was caught by the safety clips. the scaffold planks became dislodged which caused two employees to fall. employee #1 injured his left shoulder when he fell backwards into the existing block masonry wall. employee #2 sprained his left ankle when he fell through the scaffold planks. he was able to catch himself which prevented him from falling to the ground.,fall from/with scaffold,"scaffold, winch, wire rope, fall, fall protection, sprain, shoulder, ankle, contusion, concrete block",fall_from_height,fall_with_height_exposure,,
202089413,worker survives sixty,"at approximately 6:36 p.m. on august 17 2010 employee #1 was erecting a grain leg at a grain storage facility. employee #1 had been hoisted to the work area in a personnel platform suspended by a mobile hydraulic crane. employee #1 exited the platform and was working on top of the previously installed sections of grain leg. he was not wearing a harness or secured to an anchorage point. he was using a ratchet lever hoist (""come-a-long"") secured to the grain leg and an adjacent concrete silo in order to square up the leg. he was adjusting the come-a-long in a forward motion when the anchor in the concrete silo failed causing employee #1 to fall forward. he fell approximately 60 feet to compacted stone. other employees on the site saw employee #1 fall and emergency crews were called immediately. one of the workers on the site provided first aid. employee #1 was airlifted to the nearest trauma center. he sustained injuries including but not limited to skull fracture cervical fracture ruptured diaphragm ruptured spleen ruptured pancreas multiple internal organ contusions pelvic fractures bilateral leg fractures and arm fractures.",fall from/with structure,"construction, grain elevator, hoisting mechanism, fall protection, anchor, equipment failure, fall, fracture, neck, leg","fall_from_height, lifting",fall_with_height_exposure,,
202315453,employee falls off step ladder,on september 2 2005 employee #1 a construction laborer was using a 10-ft-louisville step ladder for access to a one story residential roof. employee #1 placed the ladder against the wall and ascended the ladder to the top cap reached over with left hand to brace against the 2-ft by 6-ft wood rafter. the rafter gave way causing employee #1 to fall approximately 10 ft to construction material/debris below. employee #1 was hospitalized and treated for a neck fracture two fractured ribs wrist and a collapsed lung. the step ladder spreader was not open and locked in place.,fall from/with ladder,"construction, stepladder, roof, rafter, collapse, fall, fracture, rib, neck",fall_from_height,fall_with_height_exposure,,
202516241,carpenter sustains fractures in fall from roof,on april 24 2007 employee #1 working as a carpenter for a general construction contractor was nailing down tongue and groove sheets of plywood when he stepped on one that had not been nailed in place. his weight on the end of the piece of plywood caused the other end to flip up and both he and the sheet of plywood fell down through the trusses to the ground. employee #1 fell 14 feet sustaining multiple fractures. he was hospitalized.,fall,"construction, carpenter, roof, roofer, wood panel, unsecured panel, unstable surface, fall, falling object, fracture",fall_from_height,fall_with_height_exposure,,
202587333,employee cuts hand with circular saw,on february 6 2012 employee #1 was working for his employer a concrete subcontractor. the worksite was a new residential construction project and the employer had been contracted to pour the foundations at the site. employee #1 was assigned the task of cutting sleepers for the formwork of a concrete home foundation. sleepers are four to six-foot sections of two-by-four pressure-treated douglas fir (ptdf) which are used in the doorways of the foundation. employee #1 was using a corded 7.25-inch circular saw to cut the sleepers. prior to being cut the sleepers were 16 feet long. employee #1 was cutting the sections with the saw in his right hand and he was using his left hand to position the sleeper. employee #1 made a cut across the sleeper and his right foot stepped on the power cord causing the saw to shift its direction and cut his left hand. employee #1 was transported to valley care medical center for treatment and was admitted for less than 24 hours. employee #1 will regain full function of his left fingers but he will suffer some nerve damage in his thumb.,other,"circular saw, concrete form work, laceration, hand, thumb",energy_release,no_strong_sif_evidence,,
201059391,shackle fails and amputates employee's legs,employee #1 was attempting to locate a seepage pit utilizing a truck-mounted drill rig also known as a bucket machine. employee #1 was drilling a test hole when a shackle used to hold the cable end of the dumping arm broke off causing the kelly bar to fall on employee #1 who was sitting on the operating seat at the time. the bucket was on its upward stroke when the shackle broke off causing the wire rope to loosen and swung the bucket toward employee #1 knocking him down. as employee #1 was hit by the bucket he lost control of the rig causing the kelly bar to fall on him amputating both of his legs just above the knee cap. employee #1 was hospitalized.,[],"amputated, leg, equipment failure, drill rig--non-oil, shackle","struck_by, amputation",no_strong_sif_evidence,,
201496452,employee is injured in fall from roof truss,on december 3 2011 employee # 1 was working as a carpenter on roof trusses. employee# 1 lost his balance when the board he was walking on broke. he fell approximately seven feet to the ground. employee # 1 was transported to community regional medical center. employee # 1 suffered fracture vertebrae. the accident was reported to the division of occupational safety and health on december 3 2011.,fall from/with structure,"walking on plank, fall, fracture, vertebra, lost balance, roof, truss",fall_from_height,no_strong_sif_evidence,,
202506184,employee injured when struck in head by falling metal gate,on august 10 2007 employee #1 a superintendent overseeing the construction of a new condominium complex saw a coworker-electrician hanging from an electric gate and asked him to get down. employee #1 was then walking under the same gate when it fell striking him on the back of his head. he sustained a concussion for which he was hospitalized.,struck by falling object/projectile,"construction, struck by, falling object, head, concussion, horseplay, work rules, unsecured",struck_by,no_strong_sif_evidence,,
171058290,employee injured in fall from flat roof,employee #1 was helping a coworker apply truss strips before laying the final membrane on the flat roof of a one-story building. the roof had a 9 in. tall parapet around the edge. employee #1 was near the southwest corner and moving backward when he fell sustaining injuries that required hospitalization.,fall from roof,"fall, construction, walking backward, installing, single story, roof, work surface, roofer",fall_from_height,fall_with_height_exposure,,
