report_id,report_text,sif_label,activity,hazard,location,barrier_failure,life_saving_rule
1,Observation: The welding area was inspected and combustible materials were removed before work.,0,Hot Work,Fire prevention,Workshop,Area preparation completed,Hot Work
2,Observation: A supervisor completed the pre-job safety briefing before routine maintenance.,0,Maintenance,Routine task,Process Area,Pre-job briefing completed,General Safety
3,The electrical isolation checklist was completed before scheduled panel maintenance.,0,Electrical Maintenance,Electrical energy,Substation,Isolation checklist completed,Energy Isolation
4,Observation: Hot work was conducted inside a poorly ventilated area with combustible vapours present.,1,Hot Work,Fire / explosion,Workshop,Ventilation and gas monitoring inadequate,Hot Work
5,Hot work was conducted inside a poorly ventilated area with combustible vapours present.,1,Hot Work,Fire / explosion,Workshop,Ventilation and gas monitoring inadequate,Hot Work
6,Observation: A worker climbed onto a platform without attaching fall protection.,1,Work at Height,Fall from height,Process Area,Fall-arrest system not used,Working at Height
7,A worker positioned himself between a moving vehicle and a fixed structure.,1,Vehicle Operation,Crush injury,Loading Area,Line-of-fire and vehicle separation failed,Line of Fire
8,A confined-space permit was reviewed and all required checks were recorded before entry.,0,Confined Space,Planned entry,Vessel Area,Permit and atmospheric checks completed,Confined Space
9,A contractor worked at height without connecting the fall-arrest lanyard.,1,Work at Height,Fall from height,Maintenance Area,Fall protection was not connected,Working at Height
10,Worker entered a confined space without atmospheric testing or a valid entry permit.,1,Maintenance,Toxic atmosphere / oxygen deficiency,Process Area,Atmospheric testing and permit control absent,Confined Space
11,Grinding was performed beside combustible material without adequate fire controls.,1,Hot Work,Fire,Workshop,Combustible-material control and fire watch inadequate,Hot Work
12,Welding was started without checking for flammable vapours in the area.,1,Hot Work,Fire / explosion,Process Area,Pre-work gas testing failed,Hot Work
13,Observation: A trained fire watch was assigned during approved welding work.,0,Hot Work,Hot work,Workshop,Fire watch and permit controls in place,Hot Work
14,Observation: A load shifted unexpectedly while workers were guiding it by hand.,1,Lifting,Struck-by / crush,Warehouse,Load control and exclusion zone inadequate,Lifting Operations
15,The spotter guided a vehicle safely into the designated parking area.,0,Vehicle Operation,Vehicle movement,Plant Road,Spotter and controlled movement used,Driving
16,A worker removed a valve without isolating and depressurizing the line.,1,Maintenance,Unexpected energy release,Process Unit,Energy isolation and depressurization not verified,Energy Isolation
17,The operator stopped the vehicle at the marked pedestrian crossing.,0,Vehicle Operation,Traffic interaction,Plant Road,Traffic rules followed,Driving
18,Observation: The operator stopped the vehicle at the marked pedestrian crossing.,0,Vehicle Operation,Traffic interaction,Plant Road,Traffic rules followed,Driving
19,A vehicle reversed close to pedestrians without a spotter or controlled exclusion area.,1,Vehicle Operation,Vehicle-pedestrian collision,Plant Road,Pedestrian segregation and reversing control failed,Driving
20,Observation: Welding was started without checking for flammable vapours in the area.,1,Hot Work,Fire / explosion,Process Area,Pre-work gas testing failed,Hot Work
21,Observation: Housekeeping was completed and the walkway was clear of materials.,0,Housekeeping,Trip hazard,Workshop,Walkway kept clear,General Safety
22,The maintenance team verified zero energy before beginning scheduled work.,0,Maintenance,Stored energy,Process Unit,Zero-energy verification completed,Energy Isolation
23,An electrical panel was opened without proving isolation before maintenance.,1,Electrical Maintenance,Electrical shock / arc flash,Substation,Isolation verification and test-before-touch failed,Energy Isolation
24,A tank was opened for maintenance without confirming isolation from connected lines.,1,Maintenance,Unexpected chemical release,Tank Farm,Positive isolation not verified,Energy Isolation
25,Observation: Gas detectors were calibrated and available before the planned maintenance shift.,0,Maintenance,Gas monitoring,Process Area,Gas detection readiness verified,Confined Space
26,Observation: A pump was opened while residual pressure remained in the system.,1,Maintenance,Unexpected pressure release,Process Area,Isolation and zero-energy verification failed,Energy Isolation
27,A hose under pressure disconnected and moved toward nearby workers.,1,Maintenance,Stored-energy release,Process Area,Pressure isolation and hose restraint failed,Line of Fire
28,The operator followed the approved procedure while opening a low-pressure service valve.,0,Operations,Routine valve operation,Process Area,Procedure followed,General Safety
29,Observation: A worker entered the line of fire while equipment was being pressure tested.,1,Pressure Testing,Stored pressure / struck-by,Process Unit,Line-of-fire control and exclusion zone failed,Line of Fire
30,A trained fire watch was assigned during approved welding work.,0,Hot Work,Hot work,Workshop,Fire watch and permit controls in place,Hot Work
31,Observation: A contractor worked at height without connecting the fall-arrest lanyard.,1,Work at Height,Fall from height,Maintenance Area,Fall protection was not connected,Working at Height
32,Observation: A worker walked inside the barricaded area below an active lifting operation.,1,Lifting,Dropped load,Construction Area,Barricade and exclusion-zone control failed,Lifting Operations
33,Observation: The load was kept within the marked lifting zone during routine crane operation.,0,Lifting,Routine lifting,Warehouse,Load zone controlled,Lifting Operations
34,A confined-space attendant was not present while a worker was inside the vessel.,1,Confined Space,Delayed emergency response,Tank Farm,Attendant and entry controls not maintained,Confined Space
35,Observation: Workers used the approved access platform and inspected the guardrails before work.,0,Work at Height,Height access,Construction Area,Access and guardrails verified,Working at Height
36,Observation: A worker removed a valve without isolating and depressurizing the line.,1,Maintenance,Unexpected energy release,Process Unit,Energy isolation and depressurization not verified,Energy Isolation
37,The crane operator completed the routine pre-use inspection before lifting an empty pallet.,0,Lifting,Routine lifting,Warehouse,Pre-use inspection completed,Lifting Operations
38,Observation: A worker used a ladder with three points of contact for a short low-level task.,0,Work at Height,Low-level access,Workshop,Safe ladder practice followed,Working at Height
39,Observation: A worker reached into moving machinery while the machine was still energized.,1,Maintenance,Entanglement / crush,Workshop,Machine isolation and guarding failed,Energy Isolation
40,A worker entered a vessel before confirming oxygen concentration was within the safe range.,1,Confined Space,Oxygen deficiency,Vessel Area,Atmospheric testing was not confirmed,Confined Space
41,Observation: A worker stood directly in front of a pressurized flange during loosening.,1,Maintenance,Pressure release,Process Unit,Line-of-fire positioning was not controlled,Line of Fire
