id,title,Summary2,cause,newkeys,report_text,text_length,sif_indicators,indicator_count,sif_label,label_reason
200361855,two workers are struck by motor vehicle and one is killed,on august 27 2013 employees #1 and #2 of templar inc. a construction company specializing in fiber optic installation and services were working along a highway. the highway speed limit was posted at 55 miles per hour. employee #1 was marking the location of an underground line that ran below the turn lane. employee #2 was next to employee #1 and performing the duties of a flagger. a privately owned vehicle was travelling in the travel/through lane. the vehicle veered to the right entered the turn lane and struck both workers. emergency medical services were called. employee #1 was declared dead at the scene. employee #2 refused emergency medical treatment for the bruises he received when struck.,other,"construction, undrgrd power line, highway, traffic control, traffic accident, vehicle, struck by, contusion, abdomen, motor vehicle","two workers are struck by motor vehicle and one is killed on august 27 2013 employees #1 and #2 of templar inc. a construction company specializing in fiber optic installation and services were working along a highway. the highway speed limit was posted at 55 miles per hour. employee #1 was marking the location of an underground line that ran below the turn lane. employee #2 was next to employee #1 and performing the duties of a flagger. a privately owned vehicle was travelling in the travel/through lane. the vehicle veered to the right entered the turn lane and struck both workers. emergency medical services were called. employee #1 was declared dead at the scene. employee #2 refused emergency medical treatment for the bruises he received when struck. other construction, undrgrd power line, highway, traffic control, traffic accident, vehicle, struck by, contusion, abdomen, motor vehicle",900,"fatality, struck_by",2,1,fatal_outcome
202673471,foreman is fatally crushed when forklift tips over,at approximately 6:30 a.m. on may 13 2013 employee #1 a foreman regularly employed by integrity rebar placers was operating a rough terrain forklift at a contracted job site in murrieta ca. he was using the forklift to move bundles of steel. employee #1 was positioning the forklift to pick up another load when the forklift tipped back and over. employee #1 exited the cab of the forklift as the machine tipped over. the forklift fell on top of employee #1 pinning him under the lower section of the boom and crushing his abdomen. he was killed. the employer notified cal/osha of this fatality at approximately 8:35 a.m. on may 13 2013. the subsequent investigation determined that employee #1 had been employed by the company for approximately 2.5 months.,[],"construction, equipment operator, industrial truck, metal bar, equipment failure, crushed, abdomen, pinned, vehicle, overturn","foreman is fatally crushed when forklift tips over at approximately 6:30 a.m. on may 13 2013 employee #1 a foreman regularly employed by integrity rebar placers was operating a rough terrain forklift at a contracted job site in murrieta ca. he was using the forklift to move bundles of steel. employee #1 was positioning the forklift to pick up another load when the forklift tipped back and over. employee #1 exited the cab of the forklift as the machine tipped over. the forklift fell on top of employee #1 pinning him under the lower section of the boom and crushing his abdomen. he was killed. the employer notified cal/osha of this fatality at approximately 8:35 a.m. on may 13 2013. the subsequent investigation determined that employee #1 had been employed by the company for approximately 2.5 months. [] construction, equipment operator, industrial truck, metal bar, equipment failure, crushed, abdomen, pinned, vehicle, overturn",937,"fatality, struck_by, caught_between, lifting",4,1,fatal_outcome; caught_between_high_energy; lifting_high_energy_exposure
202509832,employee suffers abdominal fracture in fall from ladder,on april 9 2013 employee #1 was installing vinyl sidings on a single story residence. the employee was standing an a-frame ladder that was set on a plank of a scaffold. the scaffold moved causing employee #1 to lose his balance. the employee fell from the ladder approximately 12-ft to the ground. employee #1 was transported to an area hospital where he was treated for an abdominal fracture. the employee remained hospitalized.,fall from/with ladder,"installing, ladder, scaffold, structure moving, lost balance, fall, fracture, abdomen","employee suffers abdominal fracture in fall from ladder on april 9 2013 employee #1 was installing vinyl sidings on a single story residence. the employee was standing an a-frame ladder that was set on a plank of a scaffold. the scaffold moved causing employee #1 to lose his balance. the employee fell from the ladder approximately 12-ft to the ground. employee #1 was transported to an area hospital where he was treated for an abdominal fracture. the employee remained hospitalized. fall from/with ladder installing, ladder, scaffold, structure moving, lost balance, fall, fracture, abdomen",593,fall_from_height,1,1,fall_with_height_exposure
201562840,employee's body is caught in asphalt machine dies,on november 27 2012 employee #1 was operating an asphalt-pulverizing machine. the employee's work clothing zipper was caught in the asphalt-pulverizing machine pulling his body into the squeeze point action of the machine. employee #1 was amputated from the abdominal point of his body. the employee was pronounced dead at the scene.,crushed/run,"asphalt, machine operator, caught by, clothing, point of operation, abdomen, amputated","employee's body is caught in asphalt machine dies on november 27 2012 employee #1 was operating an asphalt-pulverizing machine. the employee's work clothing zipper was caught in the asphalt-pulverizing machine pulling his body into the squeeze point action of the machine. employee #1 was amputated from the abdominal point of his body. the employee was pronounced dead at the scene. crushed/run asphalt, machine operator, caught by, clothing, point of operation, abdomen, amputated",482,"fatality, caught_between, amputation",3,1,fatal_outcome; caught_between_high_energy
202478632,employee is punctured in abdomen with nail,at approximately 11:57 a.m. on september 28 2012 employee #1 was working with a coworker. their job was to replace the felt under the concrete tile at the residential location. once the felt was replaced the employees would put the tile back into place. employee #1 removed debris from a roof and dumping leftover roof tile into a dumpster on the ground. his coworker the foreman was using a bostitch nail gun (model number f21pl serial number 12194029b) to insert nails into roofing tiles. after the felt was replaced the employees would put the tile back in place. while walking on the pitch of the roof employee #1 was carrying a load of leftover tile when he slipped and fell into his coworker. the coworker tried to catch employee #1 but the nail gun went off sending a nail into employee #1's abdomen. employee #1 was transported to a medical center where he underwent surgical procedures and was hospitalized for postoperative care.,other,"slip, nail, puncture, abdomen, fall","employee is punctured in abdomen with nail at approximately 11:57 a.m. on september 28 2012 employee #1 was working with a coworker. their job was to replace the felt under the concrete tile at the residential location. once the felt was replaced the employees would put the tile back into place. employee #1 removed debris from a roof and dumping leftover roof tile into a dumpster on the ground. his coworker the foreman was using a bostitch nail gun (model number f21pl serial number 12194029b) to insert nails into roofing tiles. after the felt was replaced the employees would put the tile back in place. while walking on the pitch of the roof employee #1 was carrying a load of leftover tile when he slipped and fell into his coworker. the coworker tried to catch employee #1 but the nail gun went off sending a nail into employee #1's abdomen. employee #1 was transported to a medical center where he underwent surgical procedures and was hospitalized for postoperative care. other slip, nail, puncture, abdomen, fall",1024,fall_from_height,1,0,no_strong_sif_evidence
202692364,carpenter is injured in fall from ceiling joist,on december 4 2013 employee #1 a carpenter employed by valley trinity construction co. inc. was engaged in interior carpentry work at a commercial building. he fell from a ceiling joist a fall height of approximately 6 feet. emergency services were called and employee #1 was transported to a hospital where he was admitted and treated for bruising/abrasions to his back and neck.,fall from/with structure,"construction, carpenter, ceiling, joist, fall, fall protection, back, neck, abrasion","carpenter is injured in fall from ceiling joist on december 4 2013 employee #1 a carpenter employed by valley trinity construction co. inc. was engaged in interior carpentry work at a commercial building. he fell from a ceiling joist a fall height of approximately 6 feet. emergency services were called and employee #1 was transported to a hospital where he was admitted and treated for bruising/abrasions to his back and neck. fall from/with structure construction, carpenter, ceiling, joist, fall, fall protection, back, neck, abrasion",538,fall_from_height,1,1,fall_with_height_exposure
201510989,pipeline worker is struck and injured by falling cement,on august 22 2013 employee #1 employed by southland/tutor perini corporation was working on a pipeline project. a piece of cement grout approximately 1.5 feet by 1.5 feet by 6 feet long fell out of the tunnel face approximately 3 feet above the invert. the cement pinned employee #1's leg against a roadheader. employee #1 sustained bruising/contusions/abrasions. he did not require hospitalization. this incident was reported to cal/osha which subsequently led to an investigation.,struck by falling object/projectile,"construction, pipeline, struck by, pinned, contusion, abrasion, leg, tunnel, steel erection, excavation","pipeline worker is struck and injured by falling cement on august 22 2013 employee #1 employed by southland/tutor perini corporation was working on a pipeline project. a piece of cement grout approximately 1.5 feet by 1.5 feet by 6 feet long fell out of the tunnel face approximately 3 feet above the invert. the cement pinned employee #1's leg against a roadheader. employee #1 sustained bruising/contusions/abrasions. he did not require hospitalization. this incident was reported to cal/osha which subsequently led to an investigation. struck by falling object/projectile construction, pipeline, struck by, pinned, contusion, abrasion, leg, tunnel, steel erection, excavation",678,"struck_by, caught_between",2,1,caught_between_high_energy
202510004,employee crushes leg suffers possible fracture,on july 9 2013 employee #1 with aquatic environments inc. was performing maintenance on a backhoe-like piece of equipment (called an aquamog) used to maintain aquatic environments. employee #1's leg was trapped between a moving boom section and the swing saddle/a-frame previously installed on the aquamog vessel. employee #1 was hospitalized.,caught in stationary equipment,"contusion, abrasion, leg, fracture, backhoe boom, maintenance, backhoe","employee crushes leg suffers possible fracture on july 9 2013 employee #1 with aquatic environments inc. was performing maintenance on a backhoe-like piece of equipment (called an aquamog) used to maintain aquatic environments. employee #1's leg was trapped between a moving boom section and the swing saddle/a-frame previously installed on the aquamog vessel. employee #1 was hospitalized. caught in stationary equipment contusion, abrasion, leg, fracture, backhoe boom, maintenance, backhoe",492,"caught_between, confined_space",2,1,caught_between_high_energy
202654620,worker falls from roof and breaks arm,on june 19 2013 employee #1 employed by a construction company was doing roofing work on a new home construction. he was installing roofing felt paper. he walked backwards and fell off the roof. he landed on the ground a distance of 12 to 14 feet. emergency services were called. employee #1 was transported to the hospital where he was treated for a fracture of the left arm and a scrape to the left side of his face. he was not hospitalized.,fall from roof,"construction, roof, fall, fall protection, installing, arm, fracture, face, abrasion","worker falls from roof and breaks arm on june 19 2013 employee #1 employed by a construction company was doing roofing work on a new home construction. he was installing roofing felt paper. he walked backwards and fell off the roof. he landed on the ground a distance of 12 to 14 feet. emergency services were called. employee #1 was transported to the hospital where he was treated for a fracture of the left arm and a scrape to the left side of his face. he was not hospitalized. fall from roof construction, roof, fall, fall protection, installing, arm, fracture, face, abrasion",581,fall_from_height,1,1,fall_with_height_exposure
200361772,driver hurt when truck unloading sand overturns,on june 18 2013 an employee was working as the driver of a tractor trailer dump truck. he was delivering sand to a construction site. to reach the site where he would dump the sand he backed his rig up a previously deposited pile of dirt. the left rear wheels of the trailer were raised approximately 2 feet (0.6 meters) above the level of the rest of the ground. with the truck not level the employee then raised the trailer bed to dump the sand. the tractor and trailer overturned to the right side. the employee sustained bruises contusions and abrasions. he was transported to an emergency room provided medical treatment and released.,[],"truck driver, truck, dump truck, uneven ground, dump truck bed, overturn, contusion, abrasion","driver hurt when truck unloading sand overturns on june 18 2013 an employee was working as the driver of a tractor trailer dump truck. he was delivering sand to a construction site. to reach the site where he would dump the sand he backed his rig up a previously deposited pile of dirt. the left rear wheels of the trailer were raised approximately 2 feet (0.6 meters) above the level of the rest of the ground. with the truck not level the employee then raised the trailer bed to dump the sand. the tractor and trailer overturned to the right side. the employee sustained bruises contusions and abrasions. he was transported to an emergency room provided medical treatment and released. [] truck driver, truck, dump truck, uneven ground, dump truck bed, overturn, contusion, abrasion",784,,0,0,no_strong_sif_evidence
